"ID","Status","Project","Product","Short_Name","Description","Access","Documentation","Version","DOI","Variable","Start","End","Region","Polygon","Released","Theme1","Theme2","Theme3","Theme4","Theme5","Theme6","EO_Missions"
73,"ONGOING","CryoSMOS","Bedrock topography and/or geothermal heat flux_Antarctica_GOCE","bedrock-topography-antarctica-cryosmos","The Ice Thickness product generation is described in [RD.9] and verified in [RD.10]. The product provides an estimate of the Ice Thickness in an area of East Antarctica where the BEDMAP2 data has an uncertainty of 1000 m. The product consists of a NETCDF file containing data in SMOS L3 format. The spatial coverage is provided as an index map in SMOS L3 coordinates. Both ice thickness estimate as well as ice thickness estimate merged onto the surrounding BEDMAP2 ice thickness data, are proved as maps. For user convenience the latitude and longitude coordinate values are also provided. The filename is â€œSMOS_IceThickness_YYYY_vvv.ncâ€, where YYYY is the year and vvv is the version number. File size is approximately 7 Mbyte. Only year 2015 version 300 is currently provided. Product details are available at: http://www.ifac.cnr.it/cryosmos/products/CryoSMOS_D8_EDUM_V2.0.pdf.","http://www.ifac.cnr.it/cryosmos/products/SMOS_IceThickness_2015_300.nc",,,,"Ice sheet topography","2013.01.01","2014.12.31","Antarctica","[[[-180,-83],[180,-83],[180,-60],[-180,-60],[-180,-83]]]","2020.03.19","Cryosphere",,,,,,"SMOS"
74,"ONGOING","GOCE+ ANTARCTICA","Density, Temperature, and Viscosity Structure of the Antarctic Lithosphere_Antarctica_GOCE","lithosphere-density-temperature-viscosity-goce-antarctica","Model of crust and upper mantle","https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019JB017997",,,"https://doi.org/10.1029/2019JB017997","Gravity field","2009.01.01","2013.12.31","Antarctica","[[[-180,-80],[180,-80],[180,-61],[-180,-61],[-180,-80]]]","2019.10.25","Solid Earth","Cryosphere",,,,,"GOCE"
75,"ONGOING","GODAE OCEAN OBSERVING SYSTEM EVALUATION OF SATELLITE SEA SURFACE SALINITY AND EL NINO 2015 (SMOS-NINO15)","Sea Surface Salinity Bias_Global_SMOS","sea-surface-salinity-godae-oceanview","Data assimilation of Soil Moisture and Ocean Salinity (SMOS) observations into the Mercator Ocean operational system: focus on the El NiÃ±o 2015 event. To access the data: mailto:btranchant@groupcls.com","https://os.copernicus.org/articles/15/543/2019/#section4","https://os.copernicus.org/articles/15/543/2019/#section5",,"https://doi.org/10.5194/os-15-543-2019","Sea surface salinity","2015.01.01","2016.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2019.05.22","Oceans",,,,,,"SMOS"
76,"ONGOING","Investigating lightning generated ELF Whistlers to improve ionospheric models (ILGEW)","Lightning-generated whistler events_Global_SWARM","lightning-whistler-ilgew","Two different kinds of files have been included in this dataset: 1) Whistlersâ€™ daily files of whistler data, entirely based on data from the Swarm ASM instruments, one file for each satellite operated in burst mode. These files can hold a different version number according to the data processing performed; 2) One events dataset file, which contains a selection of remarkable whistler events in the period between January 2014 and February 2020 for which additional parameters have been included, from ground observations of lightning, ionospheric profiles from ionosondes and models and in-situ electron density from Swarm EFI Langmuir Probe (LP). Product details: https://ilgew.ipgp.fr/docs/SW-ILGEW-IPGP-D08-11-08-2021.pdf","https://ilgew.ipgp.fr/#dataset",,,,"Ionospheric plasma density","2014.01.01","2020.12.31",,,"2021.08.11","Atmosphere","Magnetosphere_Ionosphere",,,,,"SWARM"
77,"ONGOING","L2A-RUT","S2 L2A uncertainty_Surface reflectance estimates_S2","s2l2a-uncertainty-sr-lpf-l2arut","Surface reflectance estimates for the Sentinel 2 mission",,,,,"Earth surface short-wave bidirectional reflectance",,,"Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2022.07.01","Land",,,,,,"Sentinel-2"
78,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Climatology of aerosol optical property profiles_Global_CALIPSO_EARTHCARE","clima-aerosol-op-livas","4-year averaged profiles of aerosol optical properties (extinction and backscatter coefficients, particle depolarization ratio) at 355, 532, 1064, 1570 and 2050 nm. The products are also provided per season and per aerosol type. (Amiridis et al., ACP, 2015, https://doi.org/10.5194/acp-15-7127-2015). Horizontal resolution: 1x1 degree, Vertical resolution: Calipso L2 vertical resolution {60m between 0-20km, 120m between 20-30km}.","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,"https://doi.org/10.5194/acp-15-7127-2015","Aerosol Optical Depth","2008.01.01","2011.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2013.12.31","Atmosphere",,,,,,"CALIPSO; EARTHCARE"
79,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Climatology of aerosol optical depth (AOD)_Global_CALIPSO_EARTHCARE","clima-aerosol-od-livas","4-year averaged AOD at 355, 532, 1064, 1570 and 2050 nm. The products are also provided per season and per aerosol type. (Amiridis et al., ACP, 2015, https://doi.org/10.5194/acp-15-7127-2015). Horizontal resolution: 1x1 degree, Vertical resolution: Calipso L2 vertical resolution {60m between 0-20km, 120m between 20-30km}","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,"https://doi.org/10.5194/acp-15-7127-2015","Aerosol Optical Depth","2008.01.01","2011.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2014.01.01","Atmosphere",,,,,,"CALIPSO; EARTHCARE"
80,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Climatology of cloud optical property profiles_Global_CALIPSO_EARTHCARE","clima-cloud-profile-livas","4-year averaged profiles of cloud optical properties (extinction and backscatter coefficients, particle depolarization ratio) at 532 nm. The products are also provided per season and per cloud type. (Amiridis et al., ACP, 2015, https://doi.org/10.5194/acp-15-7127-2015)","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,"https://doi.org/10.5194/acp-15-7127-2015",Cloud cover,"2008.01.01","2011.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2014.01.01","Atmosphere",,,,,,"CALIPSO; EARTHCARE"
81,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Climatology of cloud optical depth_Global_CALIPSO_EARTHCARE","cliima-cloud-od-livas","4-year averaged cloud optical depth at 532 nm. The products are also provided per season and per cloud type. (Amiridis et al., ACP, 2015, https://doi.org/10.5194/acp-15-7127-2015). Horizontal resolution: 1x1 degree, Vertical resolution: Calipso L2 vertical resolution {60m between 0-20km, 120m between 20-30km}. Horizontal resolution: 1x1 degree, Vertical resolution: Calipso L2 vertical resolution {60m between 0-20km, 120m between 20-30km}","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,"https://doi.org/10.5194/acp-15-7127-2015",Cloud cover,"2008.01.01","2011.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2014.01.01","Atmosphere",,,,,,"CALIPSO; EARTHCARE"
82,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Climatology of stratospheric aerosol and cloud optical property profiles_Global_CALIPSO_EARTHCARE","clima-strat-aerosol-cloud-op-livas","4-year averaged profiles of stratospheric aerosol and cloud optical properties (extinction and backscatter coefficients, particle depolarization ratio) at 355, 532, 1064, 1570 and 2050 nm. The products are also provided per season. (Amiridis et al., ACP, 2015, https://doi.org/10.5194/acp-15-7127-2015). Horizontal resolution: 1x1 degree, Vertical resolution: Calipso L2 vertical resolution {60m between 0-20km, 120m between 20-30km}","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,"https://doi.org/10.5194/acp-15-7127-2015","Aerosol Optical Depth","2008.01.01","2011.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2014.01.01","Atmosphere",,,,,,"CALIPSO; EARTHCARE"
83,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Climatology of stratospheric aerosol and cloud optical depth_Global_CALIPSO_EARTHCARE","clima-strat-aerosol-cloud-od-livas","4-year averaged stratospheric aerosol and cloud optical depth at 355, 532, 1064, 1570 and 2050 nm. The products are also provided per season. (Amiridis et al., ACP, 2015, https://doi.org/10.5194/acp-15-7127-2015). Horizontal resolution: 1x1 degree, Vertical resolution: Calipso L2 vertical resolution {60m between 0-20km, 120m between 20-30km}","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,"https://doi.org/10.5194/acp-15-7127-2015","Aerosol Optical Depth","2008.01.01","2011.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2014.01.01","Atmosphere",,,,,,"CALIPSO; EARTHCARE"
84,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Dust optical depth (DOD) of dust layers_Global_CALIPSO","dust-od-livas","DOD of dust layers at 532 and layer boundaries, for all CALIPSO overpasses. The product is based on CALIPSO L2 products and Earlinet dust separation method (described in Marinou et al. ACP, 2017). The products are provided for all CALIPSO overpasses, with horizontal resolution: 1x1 degree","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Aerosol Optical Depth","2007.01.01","2015.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2016.01.01","Atmosphere",,,,,,"CALIPSO"
85,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Aerosol and Dust aerosol optical property profiles_Dust mass concentration profiles_cloud-relevant dust number concentrations profiles_Global_CALIPSO","aerosol-dust-mass-op-livas","Aerosol (and dust aerosol) optical property profiles (extinction and backscatter coefficients, particle depolarization ratio) at 532 nm. Dust mass concentration and cloud-relevant dust number concentration profiles (based on Marinou et al. ACP (2017), Marinou et al. ACP (2019) and Ansmann et al., AMT (2019)). The products are provided for all CALIPSO overpasses, with horizontal resolution: 1x1 degree","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Aerosol Optical Depth","2006.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.01.01","Atmosphere",,,,,,"CALIPSO"
86,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Aerosol (and dust aerosol) optical depth_Global_CALIPSO","aerosol-dust-od-livas","Aerosol (and dust aerosol) optical depth at 532 nm. The products are provided for all CALIPSO overpasses, using the CALIPSO L2 aerosol product horizontal resolution of 5km.","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Aerosol Optical Depth","2006.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.01.01","Atmosphere",,,,,,"CALIPSO"
87,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Cloud optical property profiles_Global_CALIPSO","cloud-op-livas","Cloud optical property profiles (extinction and backscatter coefficients, particle depolarization ratio) at 532 nm. The products are provided for all CALIPSO overpasses, using the CALIPSO L2 aerosol product horizontal resolution of 5km.","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Cloud optical depth","2006.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.01.01","Atmosphere",,,,,,"CALIPSO"
88,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Cloud optical depth_Global_CALIPSO","cloud-od-livas","Cloud optical depth at 532 nm. The products are provided for all CALIPSO overpasses, using the CALIPSO L2 aerosol product horizontal resolution of 5km.","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Cloud optical depth","2006.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.01.01","Atmosphere",,,,,,"CALIPSO"
89,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Aerosol (and dust aerosol) optical property profiles_Pure Dust concentration profiles_cloud-relevant dust number concentrations profiles_Global_CALIPSO","aerosol-pure-dust-op-livas","Aerosol optical profiles (extinction and backscatter coefficients, particle depolarization ratio) and aerosol and cloud optical depth from CALIPSO. Pure dust products (extinction and backscatter coefficient, mass concentration, cloud relevant number concentrations) based on Marinou et al. ACP (2017), Marinou et al. ACP (2019) and Ansmann et al., AMT (2019). The products are provided for all CALIPSO overpasses, using the CALIPSO L2 aerosol product horizontal resolution of 5km. All products are clustered and averaged per overpass in 1x1 degree grid.","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Aerosol Optical Depth","2006.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.01.01","Atmosphere",,,,,,"CALIPSO"
90,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Aerosol (and dust aerosol) optical depth, averaged per overpass along 1x1 degree grid_Global_CALIPSO","aerosol-dust-od-livas","Aerosol (and dust aerosol) optical depth at 532 nm. The products are provided for all CALIPSO overpasses, using the CALIPSO L2 aerosol product horizontal resolution of 5km.","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Aerosol Optical Depth","2006.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.01.01","Atmosphere",,,,,,"CALIPSO"
91,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Cloud optical property profiles, averaged per overpass along 1x1 degree grid_Global_CALIPSO","cloud-op-averaged-livas","Cloud optical property profiles (extinction and backscatter coefficients, particle depolarization ratio) at 532 nm. The products are provided for all CALIPSO overpasses, using the CALIPSO L2 aerosol product horizontal resolution of 5km.","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Cloud optical depth","2006.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.01.01","Atmosphere",,,,,,"CALIPSO"
92,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Cloud optical depth, averaged per overpass along 1x1 degree grid_Global_CALIPSO","cloud-od-averaged-livas","Cloud optical depth at 532 nm. The products are provided for all CALIPSO overpasses, using the CALIPSO L2 aerosol product horizontal resolution of 5km.","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Cloud optical depth","2006.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.01.01","Atmosphere",,,,,,"CALIPSO"
93,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Climatology of aerosol optical property profiles for all aerosols and separately for the CALIPSO aerosol types: pure dust, marine, smoke and continental_Global_CALIPSO","clima-aerosol-op-all-livas","15-year averaged profiles of aerosol optical properties (extinction and backscatter coefficients, particle depolarization ratio) at 532 nm, for all aerosols and separately for the CALIPSO aerosol types: pure dust, marine, smoke and continental. The dust products are based on CALIPSO products and Earlinet dust separation method (described in Marinou et al. ACP, 2017). The products are provided for all CALIPSO overpasses, using the CALIPSO L2 aerosol product horizontal resolution of 5km.","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Aerosol Optical Depth","2006.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.01.01","Atmosphere",,,,,,"CALIPSO"
94,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Climatology of aerosol optical depth, for all aerosols and separately for the CALIPSO aerosol types: pure dust, marine, smoke and continental. Boundaries of dust layers_Global_CALIPSO","clima-aerosol-od-all-livas","15-year averaged aerosol optical depth at 532 nm, for all aerosols and separately for the CALIPSO aerosol types: pure dust, marine, smoke and continental. Dust layer boundaries. The dust products are based on CALIPSO products and Earlinet dust separation method (described in Marinou et al. ACP, 2017). The products are provided for all CALIPSO overpasses, using the CALIPSO L2 aerosol product horizontal resolution of 5km.","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Aerosol Optical Depth","2006.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.01.01","Atmosphere",,,,,,"CALIPSO"
95,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Time-Based Climatology of aerosol optical property profiles, for all aerosols and separately for the CALIPSO aerosol types: pure dust, marine, smoke and continental_Global_CALIPSO","time-clima-aerosol-op-all-livas","1-year averaged profiles of aerosol optical properties (extinction and backscatter coefficients, particle depolarization ratio) at 532 nm, for all aerosols and separately for the CALIPSO aerosol types: pure dust, marine, smoke and continental. The dust products are based on CALIPSO products and Earlinet dust separation method (described in Marinou et al. ACP, 2017). The products are provided for all CALIPSO overpasses, using the CALIPSO L2 aerosol product horizontal resolution of 5km.","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Aerosol Optical Depth","2006.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.01.01","Atmosphere",,,,,,"CALIPSO"
96,"ONGOING","Lidar Climatology of Vertical Aerosol Structure for Space-Based Lidar Simulation Studies-LIVAS","Time-Based Climatology of aerosol optical depth, for all aerosols and separately for the CALIPSO aerosol types: pure dust, marine, smoke and continental. Boundaries of dust layers_Global_CALIPSO","time-clima-aerosol-od-all-livas","1-year averaged aerosol optical depth at 532 nm, for all aerosols and separately for the CALIPSO aerosol types: pure dust, marine, smoke and continental. Dust layer boundaries. The dust products are based on CALIPSO products and Earlinet dust separation method (described in Marinou et al. ACP, 2017). The products are provided for all CALIPSO overpasses, using the CALIPSO L2 aerosol product horizontal resolution of 5km.","ftps://livas:livas-public@react.space.noa.gr","http://195.251.203.238/beyond/images/docs/publications/atmospheric/Amiridis_LIVAS.pdf",,,"Aerosol Optical Depth","2006.01.01","2021.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.01.01","Atmosphere",,,,,,"CALIPSO"
97,"Planned","Mass balance and ice dynamics of Antarctic Peninsula glaciers (MIT-AP)","Digital Elevation Model Antarctic Peninsula <70Â°S 2013_Antarctica_TanDEM-X","dem-antarctica-2013-lpf-mitap","Digital Elevation Model of the Antarctic Peninsula based on multiple TanDEM-X acquisitions during austral winter 2013",,,,,"Ice sheet topography","2013.01.01","2013.12.31","Antarctica","[[[-180,-80],[180,-80],[180,-61],[-180,-61],[-180,-80]]]","Planned","Cryosphere",,,,,,"TanDEM-X"
98,"Planned","Mass balance and ice dynamics of Antarctic Peninsula glaciers (MIT-AP)","Digital Elevation Model Antarctic Peninsula <70Â°S 2017_Antarctica_TanDEM-X","dem-antarctica-2017-lpf-mitap","Digital Elevation Model Antarctic Peninsula <70Â°S 2017",,,,,"Ice sheet topography","2017.01.01","2017.12.31","Antarctica","[[[-180,-80],[180,-80],[180,-61],[-180,-61],[-180,-80]]]","Planned","Cryosphere",,,,,,"TanDEM-X"
99,"Planned","Mass balance and ice dynamics of Antarctic Peninsula glaciers (MIT-AP)","Surface elevation changes Antarctic Peninsula <70Â°S between 2013 and 2017_Antarctica_TanDEM-X","surface-elevation-change-lpf-mitap","Surface elevation changes derived from Digital Elevation Model differentiating using data from TanDEM-X acquisitions from austral winters 2013 and 2017",,,,,"Ice sheet topography","2013.01.01","2017.12.31","Antarctica","[[[-180,-80],[180,-80],[180,-61],[-180,-61],[-180,-80]]]","Planned","Cryosphere",,,,,,"TanDEM-X"
100,"Planned","Mass balance and ice dynamics of Antarctic Peninsula glaciers (MIT-AP)","Geodetic glacier mass balances Antarctic Peninsula <70Â°S between 2013 and 2017_Antarctica_TanDEM-X","glacier-mass-balance-lpf-mitap","Geodetic glacier mass balance derived from Digital Elevation Model differentiating using data from TanDEM-X acquisitions from austral winters 2013 and 2017",,,,,"Glacier topography","2013.01.01","2017.12.31","Antarctica","[[[-180,-80],[180,-80],[180,-61],[-180,-61],[-180,-80]]]","Planned","Cryosphere",,,,,,"TanDEM-X"
101,"ONGOING","OVALIE: Oceanic intrinsic Variability versus Atmospheric forced variabiLIty of sea level changE","Sea level trends over 1993-2015 and 2005-2015 from the OCCIPUT ensemble simulation","sea-level-lpf-ovalie","This data set contains 50 sea level trend fields computed globally over 1993-2015 and 2005-2015 from the OCCIPUT ensemble hindcast.","https://zenodo.org/record/1487983#.YWWntlyYEXd","https://doi.org/10.1029/2018GL080838",,"https://doi.org/10.5281/zenodo.1487983","Ocean dynamic topography","1993.01.01","2015.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2018.11.14","Oceans",,,,,,
102,"ONGOING","OVALIE: Oceanic intrinsic Variability versus Atmospheric forced variabiLIty of sea level changE","Atmospherically-forced and chaotic interannual variability of the sea level and its components over 1993-2015 from the OCCIPUT ensemble simulations","sea-level-variability-lpf-ovalie","This data set contains the interannual variability fields for the sea level and its steric and manometric components over 1993-2015 from the OCCIPUT ensemble simulations.","https://zenodo.org/record/5564399#.YWVwM1yYEXc","https://doi.org/10.1029/2020JC017123",,"https://doi.org/10.5281/zenodo.5564399","Ocean dynamic topography","1993.01.01","2015.12.31","Global","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2021.10.12","Oceans",,,,,,
103,"ONGOING","PHYSIOGLOB: Assessing the inter-annual physiological response of phytoplankton to global warming using long-term satellite observations","Secchi Disk depth_Global Oceans_Multimission","secchi-disk-depth-lpf-physioglob","Data consist of global monthly-averaged maps of Hue angle, Forel-Ule index and Secchi disk depth at ~ 4 km spatial resolution at the equator. Data extend from 1997 and 2018 and were generated from the ESA-OC-CCI v4.0 multi-sensor merged remote-sensing reflectances. Two downsized subproducts are also provided: - The global dataset, reduced at 1 degree spatial resolution - A North Atlantic dataset, reduced at 0.25 degree spatial resolution","https://doi.org/10.1594/PANGAEA.904266",,,,"Ocean chlorophyll concentration","1997.01.01","2018.12.31","Global Oceans","[[[-180,-90],[180,-90],[180,90],[-180,90],[-180,-90]]]","2019.01.01","Oceans",,,,,,"SeaWiFS; MERIS; MODIS; VIIRS"
104,"ONGOING","ArcticSummIT: Arctic Summer Ice Thickness","Sea ice thickness_monthly_Oct 2010-July 2020Arctic_CryoSat-2 Baseline-D observations","sea-ice-thickness-lpf-arcticsummit","This datset will present biweekly gridded snow and sea ice parameters for the Arctic derived from the European Space Agency's satellite CryoSat-2. Parameters will include sea ice freeboard, sea ice thickness, snow depth, snow density, and uncertainties.","https://data.bas.ac.uk/full-record.php?id=GB/NERC/BAS/PDC/01613","https://data.bas.ac.uk/metadata.php?id=GB/NERC/BAS/PDC/01613",,"https://doi.org/10.5285/d8c66670-57ad-44fc-8fef-942a46734ecb","Sea-ice thickness","2021.01.01","2020.12.31","Arctic","[[[-178.4105321808,60.6134006095],[178.3660428163,60.6134006095],[178.3660428163,84.2454100786],[-178.4105321808,84.2454100786],[-178.4105321808,60.6134006095]]]","2022.01.01","Cryosphere",,,,,,"CryoSat-2"
105,"ONGOING","Pre-Operational Sentinel-3 snow and ice products (SICE)","Broadband albedo_Arctic_S3","broadband-albedo-arctic-sice","1 km Arctic regional land ice areas, daily, with cloud mask, geotiff at https://github.com/AdrienWehrle/SICE/tree/master/masks","https://dataverse01.geus.dk/dataverse/sice",,,,"Snow cover","2017.01.01","2021.12.31","Arctic","[[[-178.4105321808,60.6134006095],[178.3660428163,60.6134006095],[178.3660428163,84.2454100786],[-178.4105321808,84.2454100786],[-178.4105321808,60.6134006095]]]","2020.01.01","Cryosphere",,,,,,"Sentinel-3"
106,"ONGOING","Pre-Operational Sentinel-3 snow and ice products (SICE)","Spectral albedo_Arctic_S3","spectral-albedo-arctic-sice","1 km Arctic regional land ice areas, daily, with cloud mask, geotiff at https://github.com/AdrienWehrle/SICE/tree/master/masks","https://dataverse01.geus.dk/dataverse/sice",,,,"Snow cover","2017.01.01","2021.12.31","Arctic","[[[-178.4105321808,60.6134006095],[178.3660428163,60.6134006095],[178.3660428163,84.2454100786],[-178.4105321808,84.2454100786],[-178.4105321808,60.6134006095]]]","2020.01.01","Cryosphere",,,,,,"Sentinel-3"
107,"ONGOING","Pre-Operational Sentinel-3 snow and ice products (SICE)","Snow grain diameter_Arctic_S3","snow-grain-diameter-arctic-sice","1 km Arctic regional land ice areas, daily, with cloud mask, geotiff at https://github.com/AdrienWehrle/SICE/tree/master/masks","https://dataverse01.geus.dk/dataverse/sice",,,,"Snow cover","2017.01.01","2021.12.31","Arctic","[[[-178.4105321808,60.6134006095],[178.3660428163,60.6134006095],[178.3660428163,84.2454100786],[-178.4105321808,84.2454100786],[-178.4105321808,60.6134006095]]]","2020.01.01","Cryosphere",,,,,,"Sentinel-3"
108,"ONGOING","Pre-Operational Sentinel-3 snow and ice products (SICE)","NRT SICE rasters for Greenland_Arctic_S3","nrt-sice-rasters-greenland-arctic-sice","1 km Greenland, daily, with cloud mask, geotiff at https://github.com/AdrienWehrle/SICE/tree/master/masks","https://dataverse01.geus.dk/dataset.xhtml?persistentId=doi:10.22008/FK2/SD56CB",,,"https://doi.org/10.22008/FK2/SD56CB","Snow cover","2020.01.01","2021.12.31","Arctic","[[[-178.4105321808,60.6134006095],[178.3660428163,60.6134006095],[178.3660428163,84.2454100786],[-178.4105321808,84.2454100786],[-178.4105321808,60.6134006095]]]","2021.01.01","Cryosphere",,,,,,"Sentinel-3"
109,"ONGOING","RIDESAT - RIver flow monitoring and Discharge Estimation by integrating multiple SATellite data","Water level from altimetry_Temporal series_L3 Products Database_Amazon Itapeua_Multimission","water-level-amazon-itapeua-ridesat","The database includes the temporal series of water level from altimetry (multi-mission series from SARAL/AltiKa, Cryosat-2 and Sentinel-3) and multispetral sensors (MODIS from Terra and Aqua and OLCI from Sentinel-3A and 3B)","https://www.dropbox.com/s/kbddiybsp7agrmn/Level3_Product.rar?dl=0","http://hydrology.irpi.cnr.it/projects/ridesat/",,,"River discharge","2016.01.01","2019.12.31","South America","[-63.0278,-4.057]","2020.03.02","Land",,,,,,Sentinel-3; SARAL/ALtiKa; CryoSat-2; MODIS
