"Project_ID","Status","Project_Name","Short_Name","Short_Description","Website","Eo4Society_link","Consortium","Start_Date_Project","End_Date_Project","TO","TO_E-mail","Theme1","Theme2","Theme3","Theme4","Theme5","Theme6"
58,"COMPLETED","Methane emissions in the Northern Hemisphere by applying both data from Earth Observing (EO) satellites and global atmospheric methane inversion model estimates","MethEO","Methane emissions in the Northern Hemisphere by applying both data from Earth Observing (EO) satellites and global atmospheric methane inversion model estimates","https://eo4society.esa.int/projects/metheo/","https://eo4society.esa.int/projects/metheo/","FINNISH METEOROLOGICAL INSTITUTE (FI)",05.09.2018,01.04.2022,"Christian Retscher","christian.retscher@esa.int","Atmosphere","Cryosphere",,,,
59,"COMPLETED","MOHeaCAN: Monitoring Ocean Heat Content and Earth Energy ImbalANce from Space","MOHeaCAN","Altimetry-gravimetry approach to estimate Earth Energy Imbalance","https://eo4society.esa.int/projects/moheacan/","https://eo4society.esa.int/projects/moheacan/","MAGELLIUM (FR),CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS) (FR)",18.12.2019,15.01.2021,"Jerome Benveniste","jerome.benveniste@esa.int","Oceans",,,,,
60,"COMPLETED","MULTI-FLEX: towards a strategy for fluorescence monitoring at multiple scales within the context of the FLEX/S-3 tandem mission","(LPF) MULTI-FLEX","Exploiting the potential of fluorescence and reflectance to describe photosynthetic dynamics, using the dataset acquired within the ATMOFLEX project, developing a flexible tool built on physically based RTMs for retrieving information about vegetation biophysical/biochemical parameters and Sun-induced fluorescence, capable of dealing with multiple spectral and spatial resolution data","https://eo4society.esa.int/projects/multi-flex-towards-a-strategy-for-fluorescence-monitoring-at-multiple-scales-within-the-context-of-the-flex-s-3-tandem-mission/","https://eo4society.esa.int/projects/multi-flex-towards-a-strategy-for-fluorescence-monitoring-at-multiple-scales-within-the-context-of-the-flex-s-3-tandem-mission/","UNIVERSITY OF MILANO BICOCCA (IT)",02.10.2018,31.10.2020,"Stephen Plummer","stephen.plummer@esa.int","Land",,,,,
61,"COMPLETED","Ocean CIRculation from ocean COLour observations (CIRCOL)","CIRCOL","Improve the retrieval of altimeter-derived currents in the Mediterranean Basin combining the largescale, altimeter-derived geostrophic currents with the high-resolution dynamical information contained in sequences of satellite-derived surface Chlorophyll (Chl) observations","http://circol.artov.ismar.cnr.it/index.html","https://eo4society.esa.int/projects/circol/","CNR-INSTITUTE OF MARINE SCIENCES-ISMAR (IT),CLS COLLECTE LOCALISATION SATELLITES (FR)",26.07.2019,01.05.2021,"Marie-Helene Rio","marie-helene.rio@esa.int","Oceans",,,,,
62,"ONGOING","OCEAN+EXTREME","OCEAN+EXTREME","The general objectives of this activity is to foster the scientific exploitation of EO-based products to improve the observation, understanding and prediction of extreme wind events and their interaction with the ocean and the earth system. In particular, the required activities include (1) the development, implementation and validation of new methods allowing to fully exploit and optimally combine the wind information obtained in extreme wind conditions (>35 m/s) from different spaceborne sensors, mainly SMOS and S-1 but also other mission data (e.g., Radarsat-2, AMSR-2, Aquarius, SMAP, CYGNSS, radar altimetersâ€¦) in order to build a long time series (at least 10 years) of global multi-mission synergy wind products in high to extreme wind conditions (>35 m/s), (2) the production of an atlas of extreme wind events collocated with measurements of the underlying ocean environment as measured from satellite sensors (Sea Surface Height, Sea Surface Temperature, Ocean Colour, Sea Surface Salinity, Wave height) or from auxiliary datasets from in-situ and/or models (ex. Mixed Layer Depth), (3) the exploitation of this reference database to foster new scientific results on how extreme wind events impact the ocean in term of ocean physics, ocean biology and air-sea fluxes, including feedback processes, and how this impacts major Earth System cycles from synoptic to interannual and decadal time scales and (4) the exploitation of this reference database to support the operational user community.","https://eo4society.esa.int/projects/oceanextreme/","https://eo4society.esa.int/projects/oceanextreme/","IFREMER (FR), AGENCIA ESTATAL CONSEJO SUPERIOR DE (ES), CLS COLLECTE LOCALISATION SATELLITES (FR), DEIMOS SPACE UK LTD (GB), IEEC â€“ Institut dâ€™Estudis Espacials (ES), KNMI (NL), NANSEN ENVIRONMENTAL AND REMOTE SENSING CENTER (NO), OCEANDATALAB (FR), UNIVERSITY OF EXETER (GB), Verisk Analytics GmbH (DE)",30.10.2020,01.12.2022,"Marie-Helene Rio","marie-helene.rio@esa.int","Oceans",,,,,
63,"COMPLETED","OVALIE: Oceanic intrinsic Variability versus Atmospheric forced variabiLIty of sea level changE","(LPF) OVALIE","Study of how much the low frequency chaotic intrinsic variability (LFCIV) and the Atmospheric Forced Variability (AFV) account for the regional sea level changes and its causes","https://eo4society.esa.int/projects/ovalie-oceanic-intrinsic-variability-versus-atmospheric-forced-variability-of-sea-level-change/","https://eo4society.esa.int/projects/ovalie-oceanic-intrinsic-variability-versus-atmospheric-forced-variability-of-sea-level-change/","CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS) (FR)",17.10.2018,31.10.2020,"Stephen Plummer","stephen.plummer@esa.int","Oceans",,,,,
64,"COMPLETED","PHAB-IV: PHAse-Based sentinel-1 Ice Velocity","PHAB-IV","Develop the technical basis for an advanced Sentinel-1 Ice Velocity (IV) product for ice sheets and ice caps with improved spatial resolution and accuracy, based on Sentinel-1 interferometric phase measurements","https://eo4society.esa.int/projects/phab-iv/","https://eo4society.esa.int/projects/phab-iv/","Technical University of Denmark (DK), ENVEO â€š ENVIRONMENTAL EARTH OBSERVATION INFORMATION TECHNOLOGY GMBH (AT), GEOLOGICAL SURVEY OF DENMARK AND GREENLAND (DK)",20.12.2019,15.02.2021,"Marcus Engdahl","marcus.engdahl@esa.int","Cryosphere",,,,,
65,"COMPLETED","PHOTOPROXY: TECHNICAL ASSISTANCE FOR THE PHOTOSYNTHETIC-PROXY EXPERIMENT","PHOTOPROXY","Quantitative assessment of vegetation photosynthesis and vegetation stress from space","https://www.fz-juelich.de/ibg/ibg-2/EN/Research/Projects/Photoproxy/Photoproxy%20_projekt_node.html","https://eo4society.esa.int/projects/photoproxy-technical-assistance-for-the-photosynthetic-proxy-experiment/","FORSCHUNGSZENTRUM JUELICH GMBH (DE), FONDAZIONE CLIMA E SOSTENIBILITâˆšÃ„ (IT),University Bonn - IGG (DE),UNIVERSITY OF ALBERTA (CA)",30.10.2018,31.07.2020,"Dirk Schuettemeyer","dirk.schuettemeyer@esa.int","Land",,,,,
66,"COMPLETED","PHYSIOGLOB: Assessing the inter-annual physiological response of phytoplankton to global warming using long-term satellite observations","(LPF) PHYSIOGLOB","Assessing the inter-annual physiological response of phytoplankton to global warming using long-term satellite observations","https://eo4society.esa.int/projects/physioglob/","https://eo4society.esa.int/projects/physioglob/","ITALIAN NATIONAL AGENCY FOR NEW TECHNOLOGIES, ENERGY AND SUSTAINABLE ECONOMIC DEVELOPMENT (ENEA) (IT)",01.10.2018,31.10.2020,"Stephen Plummer","stephen.plummer@esa.int","Oceans",,,,,
67,"ONGOING","Polar+ Ice Shelf","Polar+ Ice Shelf","Exploiting the 25-year record of ESA satellite observations, including SMOS, S-1, S-2, and swath mode processed CryoSat-2 data, to produce a comprehensive record of ice shelf change that extends the temporal coverage and improves the spatial resolution with which we can study Antarctic Ice Shelves","https://polar-iceshelf.org","https://eo4society.esa.int/projects/polar-ice-shelf/","University of Leeds (GB), DLR (DE), Finnish Meteorological Institute (FMI) (FI), ENVEO (AT), EarthWave (GB), University of Edinburgh (GB)",03.09.2020,31.08.2022,"Marcus Engdahl","marcus.engdahl@esa.int","Cryosphere",,,,,
68,"ONGOING","Polar+ Snow on Sea ice","Polar+ Snow on Sea ice","Develop and validate different approaches to retrieve snow thickness over the sea ice, to develop a new prototype processor, and to produce and validate an experimental dataset of snow thickness over the Arctic.","https://eo4society.esa.int/projects/polar-snow-on-sea-ice/","https://eo4society.esa.int/projects/polar-snow-on-sea-ice/","MULLARD SPACE SCIENCE LABORATORY â€š UNIVERSITY COLLEGE LONDON (GB), ALFRED WEGENER INSTITUTE (DE), CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS) (FR), FINNISH METEOROLOGICAL INSTITUTE (FI), UNIVERSITY OF LEEDS, SCHOOL OF EARTH AND ENVIRONMENT (GB), UNIVERSITY OF TROMSâˆšÃ² (NO)",07.10.2020,01.11.2022,"Jerome Bouffard","jerome.bouffard@esa.int","Cryosphere",,,,,
69,"COMPLETED","PRE-MELT: Preconditioning the trigger for rapid Arctic ice melt","PRE-MELT","The project will deliver the first measurements of Arctic sea ice thickness during summer months, from twin satellites: ESA's Cryosat-2 & NASA's ICESat-2. Research linked to LPF project ArcticSummIT (https://eo4society.esa.int/projects/arcticsummit-arctic-summer-ice-thickness/)","https://gtr.ukri.org/projects?ref=NE%2FT000546%2F1#/tabOverview",,"University of Bristo (UK)",01.12.2019,01.05.2022,,,"Cryosphere",,,,,
70,"COMPLETED","Pre-Operational Sentinel-3 snow and ice products (SICE)","S3 snow and ice products","Automated open source processing chain using Sentinel-3 OLCI and SLSTR sensors to determine a dry/wet snow and clean/polluted bare ice spectral and broadband optical albedo 1 km daily product for land ice (glaciers, ice caps, ice sheet)","http://snow.geus.dk/","https://eo4society.esa.int/projects/pre-operational-sentinel-3-snow-and-ice-products-sice/","GEOLOGICAL SURVEY OF DENMARK AND GREENLAND (DK), VITROCISET BELGIUM SPRL (BE)",07.08.2018,03.12.2019,"Michael Kern","michael.kern@esa.int","Cryosphere",,,,,
71,"COMPLETED","PRISMA + S5P demonstration for COVID-19 studies","PRISMA+S5p for COVID-19","Recent climate remote study showed essential effect of COVID-19 on trace gases emissions, in particular, of NO2 and CO2. In Europe, Italy was one of the first countries to be infected by the COVID-19 virus, starting in the beginning of February 2020, and numbers soaring up to over 100,000 infections and 20,000 deaths by mid-April. Severe limitations of people movements following the lockdown determined a significant reduction of pollutants concentration mainly due to vehicular traffic (PM10, PM2.5, BC, benzene, CO, and NOx), which is visual, for example, in S5P images of NO2 distributions. The lockdown also led to an appreciable drop in SO2. Despite the significant decrease in NO2, the O3 exhibited a significant increase, probably, due to the minor NO concentration. At the same time the effect on aerosol emission and loading has not been reported yet widely in the scientific literature, although news and social media stories report spectacular cleaner air due to various lock-downs (e.g. “Himalayas being visible from India for the first time in 30 years”). Furthermore, a possible influence of long-term exposure to small particulate matter on COVID-19 mortality has been reported. In general, aerosol distribution is strongly spatially and temporally inhomogeneous. Therefore, to investigate COVID-19 effect on aerosol the remote sensing measurements with frequent revisiting time and fine spatial resolution may be necessary. In this project we investigate the possibility to exploit PRISMA (PRecursore IperSpettrale della Missione Applicativa, an Italian Space Agency (ASI) hyperspectral mission) fine resolution measurements together with daily S5P/TROPOMI and AERONET measurements for motoring environmental dynamics associated with COVID-19 epidemic appearance and evolution in regional scale.",,"https://eo4society.esa.int/projects/prisma/","GRASP-SAS (FR),CATALYSTS GMBH (AT),CloudFLight (DE),CNR-RESEARCH INSTITUTE FOR GEO-HYDROLOGICAL PROTECTION â€š IRPI (IT),Institute of BioEconomy (IBE)-CNR (IT),KNMI (NL)",24.07.2020,16.06.2021,"Christian Retscher","christian.retscher@esa.int","Atmosphere",,,,,
72,"COMPLETED","PROMCOM: Production of lower tropospheric methane and carbon monoxide distributions through combined use of ESA Sentinel-5 Precursor shortwave infrared and IASI/CrIS thermal infrared satellite data","PROMCOM","Production of lower tropospheric methane and carbon monoxide distributions through combined use of ESA Sentinel-5 Precursor shortwave infrared and IASI/CrIS thermal infrared satellite data","https://eo4society.esa.int/projects/promcom-production-of-lower-tropospheric-methane-and-carbon-monoxide-distributions-through-combined-use-of-esa-sentinel-5-precursor-shortwave-infrared-and-iasi-cris-thermal-infrared-satellite-data/","https://eo4society.esa.int/projects/promcom-production-of-lower-tropospheric-methane-and-carbon-monoxide-distributions-through-combined-use-of-esa-sentinel-5-precursor-shortwave-infrared-and-iasi-cris-thermal-infrared-satellite-data/","UKRI Rutherford Appleton Laboratory (GB)",23.10.2018,31.10.2020,"Diego Fernandez","diego.fernandez@esa.int","Atmosphere",,,,,
73,"COMPLETED","RIDESAT - RIver flow monitoring and Discharge Estimation by integrating multiple SATellite data","RIDESAT","The RIDESAT Project (RIver flow monitoring and Discharge Estimation by integrating multiple SATellite data) aims at developing a new methodology for the joint exploitation of three sensors (altimeter, optical and thermal) for river flow monitoring and discharge estimation.","http://hydrology.irpi.cnr.it/projects/ridesat/","https://eo4society.esa.int/projects/ridesat/","CNR-RESEARCH INSTITUTE FOR GEO-HYDROLOGICAL PROTECTION â€š IRPI, TECHNICAL UNIVERSITY OF DENMARK (DK)",11.10.2018,15.11.2019,"Jerome Benveniste","jerome.benveniste@esa.int","Land",,,,,
74,"COMPLETED","S2 for Land and Water, Coastal and Inland Waters Theme","Meteolakes","Development and validation of inland water circulation models coupled with remote sensing data to better understand the processes involved in these water bodies. The project investigated the potential of the S-2 radiometric data products to constrain hydrodynamic and ecological models of at least three water body types covering as wide a range as possible of eutrophic levels and ecological niches.","http://meteolakes.ch/#!/about","https://eo4society.esa.int/projects/s2-for-land-and-water-coastal-and-inland-waters-theme/","ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE (CH), INSTITUT NATIONAL DE LA RECHERCHE AGRONOMIQUE (INRA) (FR), ODERMATT & BROCKMANN GMBH (CH)",02.12.2015,01.03.2018,"Ferran Gascon","Ferran.Gascon@esa.int","Land",,,,,
75,"COMPLETED","Satellite Oceanographic Datasets for Acidification (OceanSODA)","OceanSODA","The Satellite Oceanographic Datasets for Acidification (OceanSODA) project will further develop the use of satellite Earth Observation for studying and monitoring marine carbonate chemistry. Besides further developments of algorithms linking satellite variables with marine carbonate system parameters and the associated validation, a distinct focus will be on selected scientific studies and downstream impact assessment. This will include characterising and analysing how upwelling (of low pH waters) and compound events impact the carbonate system, and characterising the flow and impact on marine ecosystems of low pH waters from large river systems. The project will also work closely with the World Wide Fund for Nature (WWF), the U.S. National Oceanic and Atmospheric Administration (NOAA) and The Ocean Foundation, to support their work on coral reef conservation, the designation of marine protected areas and investigation of wild fisheries health and sustainable management.","https://esa-oceansoda.org/","https://eo4society.esa.int/projects/satellite-oceanographic-datasets-for-acidification-oceansoda/","UNIVERSITY OF EXETER (GB),EIDGENâˆšÃ±SSISCHE TECHNISCHE HOCHSCHULE ZURICH (ETH ZURICH) (CH),IFREMER (FR),NERC, PLYMOUTH MARINE LABORATORY (GB)",22.11.2018,15.12.2020,"Diego Fernandez","diego.fernandez@esa.int","Oceans",,,,,
76,"COMPLETED","SaTellite-based Run-off Evaluation And Mapping (STREAM)","STREAM","A quality assessment of STREAM runoff estimates has been pursued at multiple pilot basins across the world (5 large basins + multiple sub-basins) characterised by different physiographic/climatic features. In these areas, the model was able to accurately simulate river discharge and total runoff time series.","http://hydrology.irpi.cnr.it/projects/stream","https://eo4society.esa.int/projects/stream/","CNR â€š INSTITUTE FOR ELECTROMAGNETIC SENSING OF THE ENVIRONMENT (IREA) (IT), Technical University of Denmark (DK), UNIVERSITY OF STUTTGART â€š INSTITUTE OF GEODESY (DE)",25.02.2019,01.04.2020,"Jerome Benveniste","jerome.benveniste@esa.int","Land",,,,,
77,"ONGOING","SEN4CARBON Theme 1: Terrestrial Gross Primary Production (SEN4GPP)","SENSE4GPP","Assess time-space variability of terrestrial gross primary production  (GPP) of terrestrial ecosystems by a synergistic exploitation of the complementary information provided by  the Sentinel missions (Sentinel-2, Sentinel-3 and Sentinel-5P) at multiple spatial and temporal resolutions, as well as other Earth Observation and in situ data.","https://sen4gpp.noveltis.fr/","https://eo4society.esa.int/projects/sen4gpp/","NOVELTIS SAS (FR), CEA-LSCE (FR),  Fondazione Centro Euro-Mediterraneo (IT), MAX PLANCK INSTITUTE FOR BIOGEOCHEMISTRY (DE), UNIVERSITAT POLITâˆšÃ CNICA DE VALâˆšÃ NCIA (ES), UNIVERSITY OF SOUTHAMPTON (GB)",22.04.2021,14.06.2023,"Stephen Plummer","stephen.plummer@esa.int","Land",,,,,
78,"ONGOING","SEN4CARBON Theme 2: Fire Dynamics (SENSE4FIRE)","SENSE4FIRE","Based on the new possibilities of the Sentinel series of satellites, this project aims to develop a highly novel approach to derive global fire emissions estimates based on the characterisation of individual fires and their behaviour. These data will be combined with bottom-up estimates of fuel and combustion and top-down constraints on total carbon emissions and emissions factors. Furthermore, observations of atmospheric composition will be exploited to provide an uncertainty assessment from top-down emission estimation.","https://eo4society.esa.int/projects/sense4fire/","https://eo4society.esa.int/projects/sense4fire/","TECHNISCHE UNIVERSITAT DRESDEN (DE), CARDIFF UNIVERSITY (GB), KNMI (NL)",27.05.2021,01.08.2023,"Stephen Plummer","stephen.plummer@esa.int","Atmosphere",,,,,
79,"COMPLETED","Sentinel-1 for Science: Amazonas","S14SCIENCE AMAZONAS","Develop, test and validate an operational-level Multi-temporal forest Change Detection (MCD) algorithm; estimate carbon loss and gain from anthropogenic and natural land use changes (LUC) in the Amazonas based on the MCD outputs, and perform scientific analysis and interpretation of the quantified carbon gain/loss, accounting for seasonal stressors such as severe droughts or fires.","http://project.gisat.cz/s14scienceAmazonas/","https://eo4society.esa.int/projects/s14science-amazonas/","GISAT S.R.O. (CZ), Agresta S. Coop. (ES),NLS FINNISH GEOSPATIAL RESEARCH INS (FI),Norwegian University of Life Scienc (NO)",28.04.2020,05.05.2022,"Anca Anghelea","anca.anghelea@esa.int","Land",,,,,
80,"COMPLETED","Sentinel-1 for Surface Soil Moisture","S1 for Surface Soil Moisture","Develop, implement and test soil moisture retrieval methods using Sentinel-1 dataThe C-band Sentinel-1 (S-1) European Radar Observatory, with its two satellites (S-1A & B), is the only operating SAR mission with monitoring capabilities, frequent revisit and large geographical coverage that will guarantee data continuity over the next decades.","https://eo4society.esa.int/projects/s1-for-surface-soil-moisture/","https://eo4society.esa.int/projects/s1-for-surface-soil-moisture/","CNR â€“ INSTITUTE FOR ELECTROMAGNETIC SENSING OF THE ENVIRONMENT (IREA) (IT), GAMMA REMOTE SENSING AG (CH), Institute of Geodesy and Cartography (IGiK) (PL), LUDWIG-MAXIMILIAN UNIVERSITAT MUNCHEN (DE)",20.10.2016,01.11.2018,"Malcolm Davidson","malcolm.davidson@esa.int","Land",,,,,
81,"COMPLETED","Sentinel-3 for Science, Land Study 1: Snow","S34Science: Snow","Develop, implement and validate algorithms for deriving several key snow parameters from Sentinel 3","http://snow.geus.dk/","https://eo4society.esa.int/projects/sentinel-3-for-science-land-study-1-snow/","GEOLOGICAL SURVEY OF DENMARK AND GREENLAND (DK), BROCKMANN CONSULT GMBH (DE), CNRS, DELEGATION NORMANDIE (FR)",10.11.2016,31.03.2019,"Michael Kern","michael.kern@esa.int","Cryosphere","Land",,,,
82,"COMPLETED","Sentinel-3 Hydrologic Altimetry Processor prototypE (SHAPE)","SHAPE","Design and assess the impact of alternative and innovative techniques not implemented in the Sentinel-3 ground segment (no Inland Water dedicated processing); Transpose results obtained by using Cryosat-2 data processed according to the Sentinel-3 baseline to the Sentinel-3 framework (repeat versus geodesic orbit); Migrate results into an hydrological model evaluating the potential of the Sentinel-3 data to improve hydrological catchment; Produce new datasets, including updated tropospheric corrections.","http://projects.along-track.com/shape/","https://eo4society.esa.int/projects/sentinel-3-hydrologic-altimetry-processor-prototype-shape/","ALONG-TRACK (FR), ISARDSAT LTD. (GB), ISARDSAT SP. Z O.O. (PL), SWEDISH METEOROLOGICAL AND HYDROLOGICAL INSTITUTE (SE), UNIVERSITY OF PORTO â€š FACULTY OF SCIENCE (PT)",22.09.2015,30.09.2019,"Jerome Benveniste","jerome.benveniste@esa.int","Cryosphere",,,,,
83,"COMPLETED","Sentinel-3 Performance Improvement for ICE Sheets (SPICE)","SPICE","Development and evaluation of novel SAR altimetry processing methodologies over ice sheets, primarily using dedicated CryoSat-2 SAR acquisitions made at several sites in Antarctica and in Greenland","http://www.seom-spice.org/","https://eo4society.esa.int/projects/sentinel-3-performance-improvement-for-ice-sheets-spice/","UNIVERSITY OF LEEDS, SCHOOL OF EARTH AND ENVIRONMENT (GB), CLS COLLECTE LOCALISATION SATELLITES (FR), isardSAT UK (GB)",21.09.2015,30.09.2019,"Jerome Benveniste","jerome.benveniste@esa.int","Cryosphere",,,,,
84,"COMPLETED","Sentinel-3 Primary Production over Land (TerrA-P)","TerrA-P","Define, implement and validate a model to derive information on the vegetation productivity based on data from MERIS and Sentinel-3.","https://eo4society.esa.int/projects/s3-primary-production-over-land/","https://eo4society.esa.int/projects/s3-primary-production-over-land/","VITO (BE), IMPERIAL COLLEGE LONDON (GB), UNIVERSITY OF ANTWERP ASTROPHYSICS (BE), UNIV LEICESTER (GB)",26.09.2016,01.01.2022,"Philippe Goryl","philippe.goryl@esa.int","Land",,,,,
85,"COMPLETED","SENTINEL-3 TANDEM FOR CLIMATE (S3TC) EXPRO+","S3 Tandem for Climate","Detailed study of the inter-satellite discrepancies, differences and uncertainties using data acquired during the Sentinel-3 Tandem phase.","https://s3tandem.eu/","https://eo4society.esa.int/projects/sentinel-3-tandem-for-climate-s3tc-expro/","ACRI-ST S.A.S. (FR), CLS COLLECTE LOCALISATION SATELLITES (FR),NATIONAL PHYSICAL LABORATORY (NPL) (GB),NATURAL ENVIRONMENT RESEARCH COUNCIL (GB),STFC RUTHERFORD APPLETON LABORATORY (GB),UNIVERSITY OF LEEDS, SCHOOL OF EARTH AND ENVIRONMENT (GB)",28.05.2018,16.03.2020,"Craig James Donlon","craig.donlon@esa.int","Oceans",,,,,
87,"COMPLETED","SENTINEL-5P+ INNOVATION - AEROSOL OPTICAL DEPTH (AOD) AND BIDIRECTIONAL REFLECTANCE DISTRIBUTION FUNCTION (BRDF)","S5p Inno - AOD and BRDF","The capability of Sentinel-5p for aerosol monitoring is currently not used to its full potential. However, satellite observations in the spectral range from approximately 340 to 400 nm are known to have unique sensitivity to elevation and absorption of tropospheric aerosols. Traditionally, this sensitivity is used in many ozone monitoring instruments such as TOMS, GOME-1, SCIAMACHY, OMI and GOME-2 for deriving UV Aerosol Index (UVAI) that provides very valuable qualitative information about aerosol distribution. However, UVAI does not have explicit geophysical quantitative meaning and, therefore, it is not fully appropriate for utilization in validation of aerosol transport models and other climate applications. The reflectivity of the Earth’s surface is an important input parameter for many satellite retrievals of atmospheric composition. Examples are the retrieval of trace gases such as ozone, NO2, BrO, CH2O, H2O, CO2, CO, and CH4, and of cloud information and aerosol optical depth (AOD). Recent developments in atmospheric remote sensing have focused strongly on deriving and implementing angular-dependent surface BRDF information (as opposed to using traditional, non-directional Lambertian surface reflectivity information), and on obtaining this information on a much higher spatial resolution than before. ESA S5P+I AOD/BRDF project is focused on aerosol and surface reflectance characterisation using capabilities of Sentinel-5p (TROPOMI) measurements. One objective of the project is to achieve quantitative characterization of aerosol properties from Sentinel-5p. Specifically, the objective is to develop the algorithm capable to provide Aerosol Optical Depth (AOD), i.e. aerosol load in the atmosphere as well as to provide information about absorption and type of the aerosol. Another objective of the RFP/ITT is the development of a product of spectral surface BRDF information from (and for) the TROPOMI instrument.","https://www.grasp-sas.com/projects/aod-brdf_sentinel-5p-innovation/","https://eo4society.esa.int/projects/sentinel-5p-innovation-aod-brdf/","GRASP-SAS (FR)CATALYSTS GMBH (AT),KNMI (NL)",01.07.2019,30.12.2021,"Christian Retscher","christian.retscher@esa.int","Atmosphere",,,,,
88,"COMPLETED","SENTINEL-5P+ INNOVATION - GLYRETRO (GLYoxal Retrievals from TROPOMI)","S5p Inno - Glyoxal","The GLYRETRO (GLYoxal Retrievals from TROPOMI) activity is one of the seven themes from the ESA S5p innovation (S5p+I) project, which aims at further exploiting the capability of the S5p/TROPOMI instrument with the development of a number of new scientific products. The GLYRETRO project, proposed by both the Royal Belgian Institute for Space Aeronomy and the Institute of Environmental Physics at the University of Bremen, has been successfully kicked-off on July, 1st 2019 and will last two years. The objectives are manifold and can be listed as: To develop a scientific glyoxal (CHOCHO) tropospheric column product; To collect independent data sets in order to validate the satellite observations; To pave the way towards an operationalization of the developed S5p glyoxal product; To demonstrate the added-value of the S5p glyoxal product for the user community.","https://glyretro.aeronomie.be/","https://eo4society.esa.int/projects/sentinel-5p-innovation-glyretro-glyoxal-retrievals-from-tropomi/","BELGIAN INSTITUTE OF SPACE AERONOMY (BIRA-IASB) (BE),UNIVERSITAET BREMEN (DE)",26.06.2019,30.12.2021,"Christian Retscher","christian.retscher@esa.int","Atmosphere",,,,,
89,"COMPLETED","SENTINEL-5P+ INNOVATION - SO2 Layer Height Project","S5p Inno - SO2-LH","Generation of an SO2 layer height product for Sentinel-5p taking into account data production timeliness requirements.","https://atmos.eoc.dlr.de/so2-lh/","https://eo4society.esa.int/projects/sentinel-5p-innovation-so2-layer-height-project/","DLR - GERMAN AEROSPACE CENTER (DE), ARISTOTLE UNIV. OF THESSALONIKI (GR),UNIVERSITY OF OXFORD (GB)",03.07.2019,20.03.2022,"Christian Retscher","christian.retscher@esa.int","Atmosphere",,,,,
90,"COMPLETED","SENTINEL-5P+ INNOVATION â€š WATER VAPOUR ISOTOPOLOGUES (H2O-ISO)","S5p Inno - H2O-ISO","Atmospheric moisture is a key factor for the redistribution of heat in the atmosphere and there is strong coupling between atmospheric circulation and moisture pathways which is responsible for most climate feedback mechanisms. Water isotopologues can make a unique contribution for better understanding this coupling. In recent years, water vapour isotopologue observations from satellites have become available from thermal nadir infrared measurements (TES, AIRS, IASI) which are sensitive above the boundary layer and from shortwave-infrared (SWIR) sensors (GOSAT, SCIAMACHY) that provide column averaged concentrations including sensitivity to the boundary layer. Sentinel 5P (S5P) measures SWIR radiance spectra that allow retrieval of water isotopologue columns but with much improved spatial and temporal coverage compared to other SWIR sensors thus promising an unique dataset with larger potential for scientific and operational applications. The aim of this proposal is to develop and evaluate a prototype dataset from Sentinel 5P for water isotopologues. This will be addressed by a team of experts from University of Leicester, Karlsruhe Institute of Technology and University of Bergen bringing together expertise in atmospheric measurement (EO and in-situ), and modelling with scientific end-users. Objectives: During this project we will demonstrate the feasibility of measuring stable water isotopologues for S5P, specifically ratios of HDO/H2O by: Optimizing the retrieval method making use of the University of Leicester Full Physics (UoL-FP) retrieval algorithm. Examining and characterize the retrieval performance by validation of retrieved waterisotopologues against reference data sets (MUSICA NDACC data and TCCON) and satellite data from IASI and GOSAT. Assess the impact of the S5P datasets using two different models for defined regions of interest. The findings and recommendations of this project will be delivered through a scientific roadmap, in order to further develop the methods and their application including a transition to operational activities. This will benefit from the strong links of the team with relevant international activities, projects and initiatives.","https://s5pinnovationh2o-iso.le.ac.uk/","https://eo4society.esa.int/projects/sentinel-5p-innovation-water-vapour-isotopologues-project-h2o-iso/","UNIVERSITY OF LEICESTER (GB),KARLSRUHE INSTITUTE OF TECHNOLOGY (DE),UNIVERSITY OF BERGEN (NO)",02.07.2019,30.12.2021,"Christian Retscher","christian.retscher@esa.int","Atmosphere",,,,,
